173;"335";;;0;0;0;"0";;;
"TRUE";"5.7.3";"A";;;;;;;;
"TRUE";"5.7.4";"A";;;;;;;;
"TRUE";"5.8.1";"A";;;;;;;;
"TRUE";"6.1.1";"A";;;;;;;;
"TRUE";"6.1.2";"A";;;;;;;;
"TRUE";"6.1.3";"A";;;;;;;;
"TRUE";"6.1.4";"A";;;;;;;;
"TRUE";"6.1.5";"A";;;;;;;;
"TRUE";"6.2.1";"A";;;;;;;;
"TRUE";"6.2.2";"A";;;;;;;;
"TRUE";"6.2.3";"A";;;;;;;;
"TRUE";"6.2.4";"A";;;;;;;;
"TRUE";"6.2.5";"A";;;;;;;;
"TRUE";"6.3.1";"AAA";;;;;;;;
"TRUE";"6.3.2";"AAA";;;;;;;;
"TRUE";"6.3.3";"AAA";;;;;;;;
"TRUE";"6.3.4";"AAA";;;;;;;;
"TRUE";"6.3.5";"AAA";;;;;;;;
"TRUE";"6.4.1";"A";;;;;;;;
"TRUE";"6.4.2";"A";;;;;;;;
"TRUE";"6.4.3";"A";;;;;;;;
"TRUE";"6.4.4";"A";;;;;;;;
"TRUE";"6.4.5";"A";;;;;;;;
"TRUE";"6.5.1";"A";;;;;;;;
;"7.1.1";"A";;;;;;;;
;"7.1.2";"A";;;;;;;;
;"7.1.3";"A";;;;;;;;
;"7.1.4";"A";;;;;;;;
;"7.1.5";"A";;;;;;;;
;"7.1.6";"A";;;;;;;;
;"7.2.1";"A";;;;;;;;
;"7.2.2";"A";;;;;;;;
;"7.3.1";"A";;;;;;;;
;"7.3.2";"A";;;;;;;;
;"7.3.3";"A";;;;;;;;
;"7.3.4";"A";;;;;;;;
"TRUE";"7.4.1";"A";;;;;;;;
;"7.5.1";"AAA";;;;;;;;
"TRUE";"8.1.1";"A";;;;;;;;
"TRUE";"8.1.2";"A";;;;;;;;
"TRUE";"8.1.3";"A";;;;;;;;
;"8.2.1";"A";;;;;;;;
;"8.2.2";"A";;;;;;;;
"TRUE";"8.3.1";"A";;;;;;;;
"TRUE";"8.4.1";"A";;;;;;;;
"TRUE";"8.5.1";"A";;;;;;;;
"TRUE";"8.6.1";"A";;;;;;;;
"TRUE";"8.7.1";"AA";;;;;;;;
"TRUE";"8.8.1";"AA";;;;;;;;
"TRUE";"8.8.2";"AA";;;;;;;;
"TRUE";"8.9.1";"A";;;;;;;;
;"8.10.1";"A";;;;;;;;
"TRUE";"9.1.1";"A";;;;;;;;
"TRUE";"9.1.2";"A";;;;;;;;
;"9.1.3";"A";;;;;;;;
"TRUE";"9.1.4";"A";;;;;;;;
;"9.2.1";"A";;;;;;;;
;"9.2.2";"A";;;;;;;;
;"9.3.1";"A";;;;;;;;
;"9.3.2";"A";;;;;;;;
;"9.3.3";"A";;;;;;;;
;"9.4.1";"AAA";;;;;;;;
;"9.5.1";"AAA";;;;;;;;
;"9.6.1";"A";;;;;;;;
;"9.6.2";"A";;;;;;;;
"TRUE";"10.1.1";"A";;;;;;;;
"TRUE";"10.1.2";"A";;;;;;;;
;"10.1.3";"A";;;;;;;;
;"10.2.1";"A";;;;;;;;
;"10.3.1";"A";;;;;;;;
"TRUE";"10.4.1";"AA";;;;;;;;
"TRUE";"10.4.2";"AA";;;;;;;;
;"10.4.3";"AA";;;;;;;;
;"10.5.1";"AA";;;;;;;;
;"10.5.2";"AA";;;;;;;;
;"10.5.3";"AA";;;;;;;;
;"10.6.1";"A";;;;;;;;
"TRUE";"10.7.1";"A";;;;;;;;
;"10.7.2";"A";;;;;;;;
;"10.7.3";"A";;;;;;;;
;"10.8.1";"AAA";;;;;;;;
;"10.8.2";"AAA";;;;;;;;
"TRUE";"10.8.3";"AAA";;;;;;;;
"TRUE";"10.8.4";"AAA";;;;;;;;
;"10.9.1";"AAA";;;;;;;;
;"10.10.1";"AAA";;;;;;;;
;"10.11.1";"AAA";;;;;;;;
;"10.12.1";"AAA";;;;;;;;
;"10.12.2";"AAA";;;;;;;;
"TRUE";"10.13.1";"A";;;;;;;;
;"10.13.2";"A";;;;;;;;
;"10.13.3";"A";;;;;;;;
;"10.14.1";"A";;;;;;;;
;"10.14.2";"A";;;;;;;;
;"10.14.3";"A";;;;;;;;
;"10.14.4";"A";;;;;;;;
;"10.15.1";"A";;;;;;;;
;"10.15.2";"A";;;;;;;;
;"10.15.3";"A";;;;;;;;
;"10.15.4";"A";;;;;;;;
"TRUE";"11.1.1";"A";;;;;;;;
"TRUE";"11.1.2";"A";;;;;;;;
"TRUE";"11.1.3";"A";;;;;;;;
"TRUE";"11.2.1";"A";;;;;;;;
"TRUE";"11.2.2";"A";;;;;;;;
;"11.2.3";"A";;;;;;;;
;"11.2.4";"A";;;;;;;;
"TRUE";"11.3.1";"AA";;;;;;;;
"TRUE";"11.3.2";"AA";;;;;;;;
"TRUE";"11.4.1";"A";;;;;;;;
"TRUE";"11.5.1";"A";;;;;;;;
"TRUE";"11.6.1";"A";;;;;;;;
"TRUE";"11.7.1";"A";;;;;;;;
"TRUE";"11.8.1";"A";;;;;;;;
"TRUE";"11.8.2";"A";;;;;;;;
"TRUE";"11.8.3";"A";;;;;;;;
"TRUE";"11.9.1";"A";;;;;;;;
"TRUE";"11.9.2";"A";;;;;;;;
"TRUE";"11.10.1";"A";;;;;;;;
;"11.10.2";"A";;;;;;;;
;"11.10.3";"A";;;;;;;;
"TRUE";"11.10.4";"A";;;;;;;;
;"11.10.5";"A";;;;;;;;
;"11.10.6";"A";;;;;;;;
"TRUE";"11.10.7";"A";;;;;;;;
;"11.10.8";"A";;;;;;;;
;"11.10.9";"A";;;;;;;;
"TRUE";"11.11.1";"AA";;;;;;;;
"TRUE";"11.11.2";"AA";;;;;;;;
"TRUE";"11.12.1";"AA";;;;;;;;
"TRUE";"11.12.2";"AA";;;;;;;;
"TRUE";"11.13.1";"AAA";;;;;;;;
"TRUE";"11.13.2";"AAA";;;;;;;;
"TRUE";"11.14.1";"AAA";;;;;;;;
;"11.14.2";"AAA";;;;;;;;
;"11.14.3";"AAA";;;;;;;;
"TRUE";"11.14.4";"AAA";;;;;;;;
;"11.14.5";"AAA";;;;;;;;
;"11.14.6";"AAA";;;;;;;;
"TRUE";"11.15.1";"AAA";;;;;;;;
"TRUE";"12.1.1";"AA";;;;;;;;
"TRUE";"12.2.1";"AA";;;;;;;;
"TRUE";"12.2.2";"AA";;;;;;;;
"TRUE";"12.3.1";"AA";;;;;;;;
"TRUE";"12.3.2";"AA";;;;;;;;
;"12.4.1";"AA";;;;;;;;
;"12.4.2";"AA";;;;;;;;
;"12.4.3";"AA";;;;;;;;
"TRUE";"12.5.1";"AA";;;;;;;;
"TRUE";"12.5.2";"AA";;;;;;;;
"TRUE";"12.5.3";"AA";;;;;;;;
"TRUE";"12.6.1";"AA";;;;;;;;
"TRUE";"12.6.2";"AA";;;;;;;;
"TRUE";"12.6.3";"AA";;;;;;;;
"TRUE";"12.7.1";"AA";;;;;;;;
;"12.8.1";"AAA";;;;;;;;
;"12.9.1";"AAA";;;;;;;;
;"12.10.1";"A";;;;;;;;
;"12.10.2";"A";;;;;;;;
;"12.10.3";"A";;;;;;;;
;"12.10.4";"A";;;;;;;;
;"12.11.1";"A";;;;;;;;
;"12.11.2";"A";;;;;;;;
;"12.11.3";"A";;;;;;;;
"TRUE";"12.11.4";"A";;;;;;;;
;"12.12.1";"AAA";;;;;;;;
;"12.13.1";"A";;;;;;;;
;"12.13.2";"A";;;;;;;;
;"12.14.1";"A";;;;;;;;
;"13.1.1";"A";;;;;;;;
"TRUE";"13.1.2";"A";;;;;;;;
;"13.1.3";"A";;;;;;;;
;"13.1.4";"A";;;;;;;;
;"13.1.5";"A";;;;;;;;
"TRUE";"13.2.1";"A";;;;;;;;
"TRUE";"13.2.2";"A";;;;;;;;
